,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,target
122,0.0902,https://api.spotify.com/v1/audio-analysis/4HDCLYli2SUdkq9OjmvhSD,0.43,183219,0.7,4HDCLYli2SUdkq9OjmvhSD,0.0,6,0.216,-5.35,1,0.264,158.373,4,https://api.spotify.com/v1/tracks/4HDCLYli2SUdkq9OjmvhSD,audio_features,spotify:track:3DIqLmDpxyHiy5yKA6RLEs,0.731,0
123,0.0666,https://api.spotify.com/v1/audio-analysis/1Tv6DohXfBPROpBCVWnVCP,0.683,190933,0.541,1Tv6DohXfBPROpBCVWnVCP,0.00939,8,0.107,-7.615,0,0.0695,122.989,4,https://api.spotify.com/v1/tracks/1Tv6DohXfBPROpBCVWnVCP,audio_features,spotify:track:4RAEVQeHanpXyK2lrEUkMk,0.291,0
124,0.292,https://api.spotify.com/v1/audio-analysis/0b02ZHphmQGm0lRtHyDDTH,0.593,179346,0.852,0b02ZHphmQGm0lRtHyDDTH,0.000162,5,0.141,-3.609,0,0.119,125.928,4,https://api.spotify.com/v1/tracks/0b02ZHphmQGm0lRtHyDDTH,audio_features,spotify:track:6OcKfzkVXrSemuTbZFWFCb,0.397,0
125,0.00207,https://api.spotify.com/v1/audio-analysis/6HjdL6nsBMykh2ehTv1kbb,0.573,164160,0.855,6HjdL6nsBMykh2ehTv1kbb,2.03e-05,5,0.39,-4.447,1,0.0413,125.001,4,https://api.spotify.com/v1/tracks/6HjdL6nsBMykh2ehTv1kbb,audio_features,spotify:track:4OL39vZOiYvqBiC2UOwoyr,0.15,0
126,0.0247,https://api.spotify.com/v1/audio-analysis/6i7zAdNhzUN2k1HcrBxPHG,0.798,156960,0.828,6i7zAdNhzUN2k1HcrBxPHG,2.55e-06,2,0.121,-5.36,1,0.193,124.962,4,https://api.spotify.com/v1/tracks/6i7zAdNhzUN2k1HcrBxPHG,audio_features,spotify:track:0KsdWD4j9GNlc3CMXgwb9E,0.6,0
127,0.126,https://api.spotify.com/v1/audio-analysis/2mkhxxpsp5SGBjei7LaGwi,0.704,158778,0.637,2mkhxxpsp5SGBjei7LaGwi,2.99e-06,3,0.154,-7.244,0,0.0545,115.023,4,https://api.spotify.com/v1/tracks/2mkhxxpsp5SGBjei7LaGwi,audio_features,spotify:track:5YmPSElBlLt0Yy1zPOUGqi,0.383,0
128,0.011,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,0.31,255493,0.7,08mG3Y1vljYA6bvDt4Wqkj,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,audio_features,spotify:track:5dABkHkvA7ud5nmDUArJ4r,0.763,0
129,0.313,https://api.spotify.com/v1/audio-analysis/2KmEgiY8fQs0G6WNxtzQKr,0.489,300400,0.724,2KmEgiY8fQs0G6WNxtzQKr,0.185,5,0.287,-8.367,1,0.0352,117.292,4,https://api.spotify.com/v1/tracks/2KmEgiY8fQs0G6WNxtzQKr,audio_features,spotify:track:7oN7mBg1r39crVwTK5PrWt,0.15,0
130,0.448,https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP,0.55,214733,0.824,7MRyJPksH3G2cXHN8UKYzP,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP,audio_features,spotify:track:2kuYZZvjwzYWPA8L7ICFXn,0.777,0
131,0.181,https://api.spotify.com/v1/audio-analysis/4CJVkjo5WpmUAKp3R44LNb,0.597,281147,0.605,4CJVkjo5WpmUAKp3R44LNb,0.000331,7,0.118,-12.013,1,0.0255,97.782,4,https://api.spotify.com/v1/tracks/4CJVkjo5WpmUAKp3R44LNb,audio_features,spotify:track:623BfBgk3qRz9D1RPRTJAg,0.886,0
132,0.00883,https://api.spotify.com/v1/audio-analysis/463CkQjx2Zk1yXoBuierM9,0.702,203064,0.825,463CkQjx2Zk1yXoBuierM9,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,https://api.spotify.com/v1/tracks/463CkQjx2Zk1yXoBuierM9,audio_features,spotify:track:4Q34FP1AT7GEl9oLgNtiWj,0.915,0
133,0.65,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,0.709,160000,0.548,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,0.353,83.995,4,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,audio_features,spotify:track:6w4PV16oMh5I6ZOCvig0hK,0.543,0
134,0.237,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,0.83,173711,0.585,6Im9k8u9iIzKMrmV7BWtlF,0.0,0,0.248,-6.476,1,0.094,109.978,4,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,audio_features,spotify:track:3ab4ZdIP9iklHVvzhxdwcD,0.485,0
135,0.0166,https://api.spotify.com/v1/audio-analysis/0A1hoCfMLkiAgvhWkkucJa,0.914,171067,0.732,0A1hoCfMLkiAgvhWkkucJa,0.0,8,0.107,-6.1,0,0.241,94.066,4,https://api.spotify.com/v1/tracks/0A1hoCfMLkiAgvhWkkucJa,audio_features,spotify:track:0lQ1lmYqurunIRdoVVVHM1,0.469,0
136,0.0981,https://api.spotify.com/v1/audio-analysis/0QdePZJfBpRIBautuT4FSx,0.672,196453,0.642,0QdePZJfBpRIBautuT4FSx,0.0,5,0.1,-4.035,1,0.0313,121.981,4,https://api.spotify.com/v1/tracks/0QdePZJfBpRIBautuT4FSx,audio_features,spotify:track:1GxoFQZxD7tFhQFUD9F0dD,0.494,0
